CODEN	ISSN	Serial Title	Publisher Name	
85QQAN		Frontiers of Massively Parallel Computation - Conference Proceedings	IEEE	
FUELAC	0016-2361	Fuel	Elsevier Science Ltd	
FPTEDY	0378-3820	Fuel Processing Technology	Elsevier Science Publishers B.V.	
FSCTEG	0884-3759	Fuel Science & Technology International	Marcel Dekker Inc	
FCXUEC	1000-3851	Fuhe Cailiao Xuebao/Acta Materiae Compositae Sinica	Beijing University of Aeronautics and Astronautics (BUAA)	
FUERBV	0429-8284	Fuji Electric Review	Fuji Corp	
FUSTA4	0016-2523	Fujitsu Scientific and Technical Journal	Fujitsu Ltd	
FTECEG	1064-122X	Fullerene Science and Technology	Marcel Dekker Inc	
FUINE8	0169-2968	Fundamenta Informaticae	IOS Press	
003130		Fundamentals of Papermaking Materials	Pira Int	
FKKADA	0386-6157	"Funtai Kogaku Kaishi/ Journal of the Society of Powder Technology, Japan"	Shibunkaku Kaikan	
FOFUA2	0532-8799	Funtai Oyobi Fummatsu Yakin/Journal of the Japan Society of Powder and Powder   Metallurgy	Funtai Funmatsu Yakin Kyokai	
FUREDP	0911-9280	Furukawa Review	Furukawa Electr Co Ltd	
FYYXEA	1000-3436	Fushe Yanjiu yu Fushe Gongyi Xuebao/Journal of Radiation Research and   Radiation Processing	Shanghai Sci Technol Press	
FSXEE8	1005-3883	Fushun Shiyou Xueyuan Xuebao/Journal of Fushun Petroleum Institute	Fushun Petrol Inst	
FEDEEE	0920-3796	Fusion Engineering and Design	Elsevier Sequoia SA	
FUSTE8	0748-1896	Fusion Technology	ANS	
FGCSEV	0167-739X	Future Generation Computer Systems	Elsevier Science Publishers B.V.	
FKXKE4	1000-1662	Fuxin Kuangye Xueyuan Xuebao (Ziran Kexue Ban)/Journal of Fuxin Mining   Institute (Natural Science Edition)	China Int Book Trading Corp	
FSSYD8	0165-0114	Fuzzy Sets and Systems	Elsevier Science Publishers B.V.	
002826		"GaAs Reliability Workshop, Proceedings"	IEEE	
GVTKAY	0016-4232	Galvanotechnik	Eugen G. Leuze Verlag	
GAGOF9	1003-3688	Gangkou Gongcheng/Harbour Engineering	China Int Book Trading Corp	
GKKHE9	1000-3231	Ganguang Kexue yu Guanghuaxue/Photographic Science and Photochemistry	Science Press	
GHGXEG	1003-9015	Gao Xiao Hua Xue Gong Cheng Xue Bao/Journal of Chemical Engineering of   Chinese Universities	Zhejiang Univ	
GAJIE5	1003-6520	Gaodianya Jishu/High Voltage Engineering	China Int Book Trading Corp	
GCKGEI	1000-7555	Gaofenzi Cailiao Kexue Yu Gongcheng/Polymeric Materials Science and   Engineering	CUST	
GTONE8	1002-0470	Gaojishu Tongxin/High Technology Letters	Inst Sci Tech Infor China	
GADIE9	1001-1609	Gaoya Dianqi/High Voltage Apparatus	Xi'an High Voltage Apparatus Research Institute	
GWXUER	1000-5773	Gaoya Wuli Xuebao/Chinese Journal of High Pressure Physics	Chinese Journal of High Pressure Physics	
GEMABL	0306-6444	Gas Engineering and Management	Inst of Gas Engineers	
GTHLF2		Gas Technology	American Gas Assoc	
GTWOEH	0747-7988	Gas Turbine World	Pequot Publ Co	
GUPIF6	0197-8496	Gas Utility and Pipeline Industries	Gas Ind	
GAPRDR		"Gastech, Gastech LNG/LPG Conference"	Gastech Ltd	
GWINAT	0020-9384	Gaswaerme International	Vulkan-Verlag GmbH	
002892	1048-0293	Gatfworld	Graph Arts Tech Found	
GZVPAJ	0016-5581	Gazovaya Promyshlennost	Mezhdunarodnaya Kniga	
GCITA9	0016-5603	Gazzetta Chimica Italiana	Societa Chimica Italiana	
GEATEL	0743-6858	Gear Technology	Randall Publ Inc	
002743		GEC ALSTHOM T&D Review	GEC Alsthom	
GJTEF5	1367-0476	GEC Journal of Technology	General Electr Co p.l.c.	
GECREP	0267-9337	GEC Review	General Electr Co p.l.c.	
002462		Gefahrstoffe Reinhaltung der Luft	Springer-VDI-Verlag GmbH & Co. KG	
GLOTAY	0130-0997	Geliotekhnika	Mezhdunarodnaya Kniga	
GRGVA8	0001-7701	General Relativity and Gravitation	Plenum Publ Corp	
GEBIER	0959-020X	Genetic Engineer and Biotechnologist	Carfax Publishing Co.	
GMLEDI	0276-0460	Geo-Marine Letters	Springer-Verlag GmbH & Company KG	
GCINAP	0016-7029	Geochemistry International	John Wiley & Sons Inc	
GCACAK	0016-7037	Geochimica et Cosmochimica Acta	Elsevier Science Ltd	
GEOIFP	1384-6175	GeoInformatica	Kluwer Academic Publishers	
GEOJDQ	0343-2521	GeoJournal	Kluwer Academic Publishers	
GEOKAQ	0016-7525	Geokhimiya	Mezhdunarodnaya Kniga	
GELJA8	0072-1050	Geological Journal	John Wiley & Sons Ltd	
GEMGA4	0016-7568	Geological Magazine	Cambridge Univ Press	
GEFRE6	0246-0874	Geologie De La France/Geology of France	Editions BRGM	
GEMIAA	0016-7746	Geologie en Mijnbouw	Kluwer Academic Publishers	
GERUA3	0016-7835	Geologische Rundschau	Springer-Verlag GmbH & Company KG	
GRMAA9	0016-7770	Geologiya Rudnykh Mestorozhdenij	Mezhdunarodnaya Kniga	
GLGYBA	0091-7613	Geology	Geological Soc of America	
000411		Geometrical Problems of Image Processing - Proceedings	Akademie-Verlag Berlin	
000577		Geometry and Topology of Submanifolds	World Scientific Publ Co	
GAFDD3	0309-1929	Geophysical and Astrophysical Fluid Dynamics	Gordon & Breach Science Publ Inc	
GJOUDQ	0275-9128	Geophysical Journal (English Translation of Geofizicheskii Zhurnal)	Gordon & Breach Science Publ Inc	
GJINEA	0956-540X	Geophysical Journal International	Blackwell Scientific Publishers	
GPPRAR	0016-8025	Geophysical Prospecting	European Assoc of Exploration Geophysicists	
GPRLAJ	0094-8276	Geophysical Research Letters	American Geophysical Union	
GPYSA7	0016-8033	Geophysics	Soc of Exploration Geophysicists	
GENEF8	1072-4591	Georgia Environmental News	Natl Tech Commun Co Inc	
GSCNA5	0315-0941	Geoscience Canada	Geological Assoc of Canada	
GINTFD	1072-6349	Geosynthetics International	Industrial Fabrics Assoc Int	
GGENE3	0960-3182	Geotechnical and Geological Engineering	Kluwer Academic Publishers	
GTEGB2	0046-5828	Geotechnical Engineering	Southeast Asian Geotechnical Society	
GFREDX	0882-4983	Geotechnical Fabrics Report	Industrial Fabrics Assoc Int	
GENWER	0710-0477	Geotechnical News	BiTech Publishers Ltd	
GSPUER	0895-0563	Geotechnical Special Publication	ASCE	
GTJODJ	0149-6115	Geotechnical Testing Journal	ASTM	
GTNQA8	0016-8505	Geotechnique	Thomas Telford Services Ltd	
GEGEOG	0266-1144	Geotextiles and Geomembranes	Elsevier Science Ltd	
GESTE9	0890-5363	Geothermal Science and Technology	Gordon & Breach Science Publ Inc	
GTMCAT	0375-6505	Geothermics	Elsevier Science Ltd	
000356		GI-Fachtagung	Springer-Verlag New York	
000355		GI/ITG-Fachtagung	Springer-Verlag New York	
GTSTA8	0016-9714	Gidrotekhnicheskoe Stroitel'stvo	Izdatel'stvo Meditsina	
GIESAS	0016-9765	Giesserei	Giesserei Verlag GmbH	
GSFGBY	0046-5933	Giessereiforschung	Giesserei Verlag GmbH	
GIGCAO	0017-016X	Giornale del Genio Civile	Instituto Poligrafico e Zecca dello Stato	
GLASAT	0017-0984	Glass	DMG Bus Media Ltd	
GLCEAV	0017-100X	Glass and Ceramics (English translation of Steklo i Keramika)		
GLDIAE	0017-1018	Glass Digest	Ashlee Publ Co	
GLINAK	0017-1026	Glass Industry	Ashlee Publ Co	
GLINDN	0143-7838	Glass International	DMG Bus Media Ltd	
	1086-8747	Glass Researcher	Alfred University	
GSTEEX	0946-7475	Glass Science and Technology: Glastechnische Berichte	Verlag der Deutschen Glastechnischen Gesellschaft	
GLSTAK	0017-1050	Glass Technology	Soc of Glass Technology	
GLMRFN	0176-4101	Glueckauf Mining Reporter	Verlag Glueckauf GmbH	
GKFRAA	0017-1387	Glueckauf-Forschungshefte	Verlag Glueckauf GmbH	
GLUEAJ	0340-7896	"Glueckauf: Die Fachzeitschrift fur Rohstoff, Bergbau und Energie"	Verlag Glueckauf GmbH	
GOLIEB	1000-4750	Gong Cheng Li Xue/Engineering Mechanics	Tsinghua Univ	
GOKAFH	1000-1433	Gongcheng Kancha/Geotechnical Investigation and Surveying	China Natl Publ Ind Trading Corp	
002511	1005-3085	Gongcheng Shuxue Xuebao/Chinese Journal of Engineering Mathematics	Xi'an Jiaotong Univ	
GONJEO	1000-7008	Gongju Jishu/Tool Engineering	Tool Engineering	
GJKEER	1002-0268	Gongku Jiaotong Keji/Journal of Highway and Transportation Research and   Development	Res Inst Highw	
GOCAEA	1001-9731	Gongneng Cailiao/Journal of Functional Materials	Journal of Functional Materials	
GJIAE5	1000-8993	Gongye Jianzhu/Industrial Construction	Ministry of Metallurgical Industry	
GYYZER	1000-0682	Gongye Yibiao Yu Zidonghua Zhuangzhi/Industrial Instrumentation & Automation	Ind Instrum Autom	
GORDAM	0017-2243	Gordian	Gordian GmbH & Co	
GORNDL	0138-0990	Gornictwo	Wydawnictwo A G H	
GOZHA6	0017-2278	Gornyi Zhurnal	Mezhdunarodnaya Kniga	
GDVIAE	0350-2465	Gradevinar	Union of Croatian Civil Engineers and Technicians	
GRAFF3	0017-2901	Graficas	Redaccion y Administracion	
003171	1386-1793	Grammars	Kluwer Academic Publishers	
GMIPF4	1077-3169	Graphical Models and Image Processing	Academic Press Inc	
002904	0746-3626	GraphiCommunicator	Graph Commun Int Union	
002905	0142-8853	Graphics World	Datateam Publ Ltd.	
002920	0894-4946	Gravure	Gravure Assoc Am	
GROEAV	0017-4653	Ground Engineering	Emap Construct	
GRWAAP	0017-467X	Ground Water	Natl Ground Water Assoc	
GWMREV	1069-3629	Ground Water Monitoring & Remediation	Natl Ground Water Assoc	
GRSBDB	0170-1991	GRS - Bericht (Gesellschaft fuer Reaktorsicherheit)	Gesellschaft fuer Reaktorsicherheit mbH	
GYGFED	1000-0593	Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis	China Int Book Trading Corp	
GUGOEC	1003-501X	Guangdian Gongcheng/Opto-Electronic Engineering	Chinese Academy of Sciences	
GUJIE9	1005-0086	Guangdianzi Jiguang/Journal of Optoelectronics Laser	Board of Optronics Lasers	
GJISEP	1002-1582	Guangxue Jishu/Optical Technique	Optical Technique	
GUXUDC	0253-2239	Guangxue Xuebao/Acta Optica Sinica	Chinese Optical Soc	
GUXUED	1004-4213	Guangzi Xuebao/Acta Photonica Sinica	Chinese Optical Soc	
GUIJE7	1004-0676	Guijinshu/Precious Metals	Inst Precious Metals	
GFKUED	0176-1625	"Gummi, Fasern, Kunststoffe"	"Dr Heinz Gupta Verlag, GbR"	
GKDXEM	1001-2486	Guofang Keji Daxue Xuebao/Journal of National University of Defense   Technology	Nat Univ Defense Technol	
GBKDF3	1028-5636	Guoli Bingdon Keji Daxue Xuebao/  Bulletin of National Pingtung University of   Science and Technology	Nat Pingtung Polytech Inst	
003054	1006-2599	Guowai Zaozhi/World Pulp and Paper	CTAPI	
GDYJE2	1000-3819	Guti Dianzixue Yanjiu Yu Jinzhan/Research & Progress of Solid State   Electronics	Res Prog Solid State Electron	
002383	1006-2793	Guti Huojian Jishu/Journal of Solid Rocket Technology	JSRT	
HVENEH	0268-4225	H & V Engineer	Turret Group plc	
HACJBF	0307-7950	HAC/Heating and Air Conditioning Journal	EMAP Maclaren Ltd	
HACHA8	1001-1382	Han Jie/Welding & Joining	Harbin Res Inst Weld	
003192	1005-5053	Hangkong Cailiao Xuebao/Journal of Aeronautical Materials	Beijing Institute of Aeronautical Materials (BIAM)	
HDOXE5	1000-8055	Hangkong Dongli Xuebao/Journal of Aerospace Power	BUAA Press	
HGJIEO	1000-8756	Hangkong Gongyi Jishu/Aeronautical Manufacturing Technology	Beijing Aeronaut Manuf Technol Res Inst	
HAXUDJ	1000-6893	Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica	AAAS Press of Chinese Society of Aeronautics and Astronautics	
HZGOEO	1001-1765	Hangkong Zhizao Gongcheng/Aviation Production Engineering	Aviat Ind Publ House	
HYYGEF	1002-0837	Hangtian Yixue Yu Yixue Gongcheng/Space Medicine and Medical Engineering	Inst Space Medico-Eng	
HHPAD2	0253-360X	Hanjie Xuebao/Transactions of the China Welding Institution	Harbin Res Inst Weld	
HACAFQ	1006-9941	Hanneng Cailiao/Energetic Materials	Energetic Materials	
HPKYAY	0367-6234	Harbin Gongye Daxue Xuebao/Journal of Harbin Institute of Technology	Harbin Inst Technol	
HJDXFR	1006-6780	Harbin Jianzhu Daxue Xuebao/Journal of Harbin University of Civil Engineering   and Architecture	China Educ Publ Import Export Corp	
85PQAI	1092-6100	Hardware/Software Codesign - Proceedings of the International Workshop	IEEE	
HABRAX	0017-8012	Harvard Business Review	Harvard Bus School Publ Corp	
HIWAEB	1044-0631	Hazardous and Industrial Wastes - Proceedings of the Mid-Atlantic Industrial   Waste Conference	Technomic Publ Co Inc	
HWCOEH	0738-0232	Hazardous Waste Consultant	Elsevier Science Inc	
NUTEDL	0253-3219	He Jishu/Nuclear Techniques	China Int Book Trading Corp	
HHHHDH	0253-9950	He-Huaxue yu Fangshe Huaxue/Journal of Nuclear and Radiochemistry	China Int Book Trading Corp	
HMTRF8	0042-9929	Heat and Mass Transfer/Waerme- und Stoffuebertragung	Springer-Verlag GmbH & Company KG	
HETEEE	0392-8764	Heat and Technology	Edizioni E.T.S.	
HTJPAU	0096-0802	Heat Transfer - Japanese Research	Scripta Technica Inc	
HTARFU	1099-2871	Heat Transfer Asian Research	Scripta Technica Inc	
HTEND2	0145-7632	Heat Transfer Engineering	Taylor & Francis Ltd	
HTREE7	1064-2285	Heat Transfer Research	Begell House Inc Publ	
HTRMBS	0305-4829	Heat Treatment of Metals	Aston Univ	
HVSYFJ	1351-7848	Heavy Vehicle Systems	Inderscience Enterprises Ltd	
HSSUEJ	1002-1396	Hecheng Shuzhi Ji Suliao/China Synthetic Resin and Plastics	Res Inst Beijing	
HXGOEA	1000-1255	Hecheng Xiangjiao Gongye/China Synthetic Rubber Industry	China Synth Rubber Ind	
HDYUEC	0258-0934	Hedianzixue Yu Tance Jishu/Nuclear Electronics & Detection Technology	Atomic Energy Press	
HDGOE6	0258-0926	Hedongli Gongcheng/Nuclear Power Engineering	Yuan Zi Neng Chuban She	
HYDWDP	0254-6086	Hejubian Yu Dengliziti Wuli/Nuclear Fusion and Plasma Physics	Yuan Zi Neng Chuban She	
HUPTEF	0355-7790	Helsinki University of Technology Department of Technical   Physics-Dissertation	Helsinki Univ Technol	
HCACAV	0018-019X	Helvetica Chimica Acta	Verlag Helvetica Chimica Acta	
HPACAK	0018-0238	Helvetica Physica Acta	Birkhaeuser Verlag	
HERNDU	0046-7316	Heron	Delft Univ of Technology	
HETCE8	1042-7163	Heteroatom Chemistry	John Wiley & Sons Inc	
HPJOAX	0018-1153	Hewlett-Packard Journal	Hewlett-Packard Co	
001116		Hidden Peak Symposium on Computer - Enhanced Analytical Spectroscopy	Plenum Publ Corp	
HIECAP	0018-1439	High Energy Chemistry	Plenum Publ Corp	
HLRME9		High Level Radioactive Waste Management - Proceedings of the Annual   International Conference	ASCE	
HPPOEX	0954-0083	High Performance Polymers	IOP	
HPTEDM	0144-5871	High Performance Textiles	Elsevier Science Ltd	
HPRSEL	0895-7959	High Pressure Research	Gordon & Breach Science Publ Inc	
HTLEFC	1006-6748	High Technology Letters	Inst Sci Tech Infor China	
HITEA4	0018-151X	High Temperature (English translation of Teplofizika Vysokikh Temperatur)	Plenum Publ Corp	
HTMPEF	0334-6455	High Temperature Materials and Processes	Freund Publ House Ltd	
HITSAC	0018-1536	High Temperature Science	Humana Press Inc	
002921	0737-1020	High Volume Printing : HIV	Innes Publ Comp	
003194	1388-3690	Higher-Order and Symbolic Computation	Kluwer Academic Publishers	
HGHWEM	0142-6168	Highways	Alad Ltd.	
HITRED	0265-6868	Highways and Transportation	Inst Highway Transport	
HITAAQ	0018-277X	Hitachi Review	Hitachi Ltd	
001560		HITEC - CERF Report	CERF	
HLHZAS	0017-9906	"HLH, Heizung, Lueftung/Klima Haustechnik"	Springer-VDI-Verlag GmbH & Co. KG	
003006	0018-3784	Holz - Kurier	Oesterr Agrarverlag Gmbh	
HOZWAS	0018-3768	Holz als Roh - und Werkstoff	Springer-Verlag GmbH & Company KG	
HOLZAZ	0018-3830	Holzforschung	Walter de Gruyter	
HOZVAP	0018-3849	Holzforschung und Holzverwertung	Oesterr Agrarverlag Gmbh	
HOJIEC	1001-8891	Hongwai Jishu/Infrared Technology	Kunming Inst of Physics	
HHXUEZ	1001-9014	Hongwai Yu Haomibo Xuebao/Journal of Infrared and Millimeter Waves	Chinese Opt Soc	
HJHSAR	0018-5345	Hortscience: A Publication of the American Society for Hortcultural Science	Am Soc Horticult Sci	
HOWWEH	0886-0483	HOW	F&W Publ	
HLTREY		HP Laboratories Technical Report	Hwelett Packard Lab Technical Publ Dept	
HPAOAM	0017-940X	"HPAC Heating, Piping, Air Conditioning"	Penton Publ Inc	
HSBIEY	0923-666X	HSB International	Radius Publ CV	
HCTPDW	0253-987X	Hsi-An Chiao Tung Ta Hsueh/Journal of Xi'an Jiaotong University	Xi'an Jiaotong Univ	
HTMMD5	0341-101X	HTM - Haerterei-Technische Mitteilungen	Carl Hanser Verlag	
HUGXFN	1006-5431	Huabei Gongxueyuan Xuebao/Journal of North China Institute of Technology	North China Inst Technol	
HCHGEE	1006-1088	Huadong Chuanbo Gongye Xueyuan Xuebao/Journal of East China Shipbuilding   Institute	East China Shipbuilding Inst	
HLIXEV	1006-3080	Huadong Ligong Daxue Xuebao  /Journal of East China University of Science and   Technology	East China Univ Sci Technol	
HKUJF9	1004-3012	Huagong Kuangshan Jishu/Technology for Chemical Mines	Design Res Inst Chem mines	
HTKUDJ	0253-4320	Huagong Xiandai/Modern Chemical Industry	CNCIC	
HUKHAI	0438-1157	Huagong Xuebao/Journal of Chemical Industry and Engineering (China)	Chem Ind Press	
HUYEEF	1001-2052	Huagong Yejin/Engineering Chemistry & Metallurgy	Science Press	
HZJYEZ	1000-3932	Huagong Zidonghua Ji Yibiao/Control and Instruments in Chemical Industry	Inst Autom Minist Chem Eng	
HLDKEZ	1000-565X	Huanan Ligong Daxue Xuebao/Journal of South China University of  Technology   (Natural Science)	South China Univ Technol	
HCKHDV	0250-3301	Huanjing Kexue/Environmental Science	Sci Press	
HDZIEF	1000-5013	Huaqiao Daxue Xuebao/Journal of Huaqiao University	Huaqiao Univ	
HFGGEU	1001-7631	Huaxue Fanying Gongcheng Yu Gongyi/Chemical Reaction Engineering and   Technology	Zhejiang Univ	
HUGOEN	1005-9954	Huaxue Gongcheng/Chemical Engineering	Des Inst Minist Chem Ind	
HUJIFL	1004-1672	Huaxue Jiancai/Chemical Materials for Construction	J Chem Mater Constr	
HHTPAU	0441-3776	Huaxue Tongbao/Chemistry Bulletin	Editorial Committee of Chinese Journal of Chemistry	
HHHPA4	0567-7351	Huaxue Xuebao/Journal of Chemistry	Science Press	
HJIAEG	1003-739X	Huazhong Jianzhu - HJ/Huazhong Architecture	Huazhong Jianzhu	
HLDXE6	1000-8616	Huazhong Ligong Daxue Xuebao/Journal Huazhong (Central China) University of   Science and Technology	HUST	
HMECAJ	0300-7839	Human Ecology	Plenum Publ Corp	
HUFAA6	0018-7208	Human Factors	"Human Factors and Ergonomics Society, Inc."	
HFEMF5	1090-8471	Human Factors and Ergonomics In Manufacturing	John Wiley & Sons Inc	
HSMADU	0167-2533	Human Systems Management	IOS Press	
HCINE6	0737-0024	Human-Computer Interaction	"Lawrence Erlbaum Associates, Inc."	
HDAXE3	1000-2472	Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences	Hunan University	
HSDXEL	1000-2537	Hunan Shifan Daxue Ziran Kexue Xuebao/Natural Sciences Journal of Hunan   Normal University	China Int Book Trading Corp	
HJICAI	0133-0276	Hungarian Journal of Industrial Chemistry	Univ Veszprem	
HUXUFP	1007-7812	Huozhayao Xuebao/Chinese Journal of Explosives & Propellants	Society of Explosives and Propellants	
HVREFM	1078-9669	HVAC&R Research	ASHRAE	
HYDPAZ	0018-814X	Hydraulics & Pneumatics	Penton Publ Inc	
HYDRB8	0018-8158	Hydrobiologia	Kluwer Academic Publishers	
HYBJA7	0018-8166	Hydrobiological Journal	Scripta Technica Inc	
HYPRAX	0018-8190	Hydrocarbon Processing	Gulf Publ Co	
HYGEEL	0246-1641	Hydrogeologie/Hydrogeology	Editions du BRGM	
HYPRE3	0885-6087	Hydrological Processes	John Wiley & Sons Ltd	
HSJODN	0262-6667	Hydrological Sciences Journal	IAHS	
HYDRDA	0304-386X	Hydrometallurgy	Elsevier Science Publishers B.V.	
HYCOAR	0018-8220	Hydrotechnical Construction (English translation of Gidrotekhnicheskoe   Stroitel'stvo)	   Stroitel'stvo)	
HYGIEX	0915-1869	Hyomen Gijutsu/Journal of the Surface Finishing Society of Japan	Hyomen Gijutsu	
HYINDN	0304-3843	Hyperfine Interactions	Baltzer Science Publishers B.V.	
ITCJDP	0303-2434	I T C Journal	International Institute for Aerospace Survey and Earth Sciences	
ICSYFX	1074-2328	I&CS Instrumentation & Control Systems	PennWell Publ Co	
IAEBAB	0020-6067	IAEA Bulletin	IAEA	
IAPUEP	0144-7815	IAHS Publication (International Association of Hydrological Sciences)	IAHS	
000731		IASTED International Conference on High Technology in the Power Industry	IASTED	
IBMJAE	0018-8646	IBM Journal of Research and Development	IBM	
IBMSA7	0018-8670	IBM Systems Journal	IBM	
ICRSA5	0019-1035	Icarus International Journal of Solar System Studies	Acad Press Inc	
IPRODJ	0736-7791	"ICASSP, IEEE International Conference on Acoustics, Speech and Signal   Processing - Proceedings"	IEEE	
ICREEZ	0730-2010	"ICIASF Record, International Congress on Instrumentation in Aerospace   Simulation Facilities"	IEEE	
IDSYE5	0892-676X	ID Systems	Helmers Publ Inc	
IEPREA		IECON Proceedings (Industrial Electronics Conference)	IEEE	
DCILDN	0963-3308	IEE Colloquium (Digest)	IEE	
IECPB4	0537-9989	IEE Conference Publication	IEE	
ICDSE7	1350-2409	"IEE Proceedings: Circuits, Devices and Systems"	IEE	
IPCOED	1350-2425	IEE Proceedings: Communications	IEE	
ICDTEA	1350-2387	IEE Proceedings: Computers and Digital Techniques	IEE	
ICTAEX	1350-2379	IEE Proceedings: Control Theory and Applications	IEE	
IEPAER	1350-2352	IEE Proceedings: Electric Power Applications	IEE	
IGTDE2	1350-2360	"IEE Proceedings: Generation, Transmission and Distribution"	IEE	
IMIPEP	1350-2417	"IEE Proceedings: Microwaves, Antennas and Propagation"	IEE	
IPOPE8	1350-2433	IEE Proceedings: Optoelectronics	IEE	
IRSNE2	1350-2395	"IEE Proceedings: Radar, Sonar and Navigation"	IEE	
ISMTEV	1350-2344	"IEE Proceedings: Science, Measurement and Technology"	IEE	
IPSEFU	1462-5970	IEE Proceedings: Software	IEE	
IVIPEK	1350-245X	"IEE Proceedings: Vision, Image and Signal Processing"	IEE	
IEREEF	0013-5127	IEE Review	IEE	
IESMEA	0885-8985	IEEE Aerospace and Electronic Systems Magazine	IEEE	
85OMAZ		IEEE Aerospace Applications Conference Proceedings	IEEE	
002881		IEEE AFRICON Conference	IEEE	
IAHCEX	1058-6180	IEEE Annals of the History of Computing	IEEE	
85QRAQ		"IEEE Annual International Carnahan Conference on Security Technology,   Proceedings"	IEEE	
ITFCFL	1049-3328	"IEEE Annual Textile, Fiber & Film Industry Technical Conference"	IEEE	
IAPMEZ	1045-9243	IEEE Antennas & Propagation Magazine	IEEE	
IAPSBG	0272-4693	"IEEE Antennas and Propagation Society, AP-S International Symposium (Digest)"	IEEE	
85RMAG		IEEE Asia-Pacific Conference on Circuits and Systems - Proceedings	IEEE	
002317		IEEE ASSP Workshop on Applications of Signal Processing to Audio and   Acoustics	IEEE	
002708	1098-7789	"IEEE ATM Workshop, Proceedings"	IEEE	
85OUAP		IEEE CAD-Based Vision Workshop - Proceedings	IEEE	
ICIPDM	0731-4906	IEEE Cement Industry Technical Conference (Paper)	IEEE	
ICDMEN	8755-3996	IEEE Circuits and Devices Magazine	IEEE	
002333		"IEEE Communication Theory Mini-Conference, Proceedings, CTMC"	IEEE	
ICOMD9	0163-6804	IEEE Communications Magazine	IEEE	
ICAPEH	0895-0156	IEEE Computer Applications in Power	IEEE	
ICGADZ	0272-1716	IEEE Computer Graphics and Applications	IEEE	
IECMFX	1092-3063	IEEE Concurrency	IEEE	
ICOAE8	1085-1992	IEEE Conference on Control Applications - Proceedings	IEEE	
ICHPEI		IEEE Conference on Human Factors and Power Plants	IEEE	
002845		"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC"	IEEE	
CRCFDZ	0190-2172	IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference	IEEE	
ICRSE9	1076-8467	IEEE Conference Record of Power Modulator Symposium	IEEE	
ISMAD7	0272-1708	IEEE Control Systems Magazine	IEEE	
IDTCEC	0740-7475	IEEE Design & Test of Computers	IEEE	
85RNAJ		IEEE Digital Signal Processing Workshop	IEEE	
IIMAE6	0883-7554	IEEE Electrical Insulation Magazine	IEEE	
EDLEDZ	0741-3106	IEEE Electron Device Letters	IEEE	
IEMBDE	0739-5175	IEEE Engineering in Medicine and Biology	IEEE	
IEMRAP	0360-8581	IEEE Engineering Management Review	IEEE	
003216		"IEEE Engineering Society, Winter Meeting"	IEEE	
002614		"IEEE Enterprise Networking Mini-Conference, ENM"	IEEE	
002469		IEEE High Frequency Postgraduate Student Colloquium	IEEE	
85QSAT		IEEE High-Performance Computer Architecture Symposium Proceedings	IEEE	
IIAMEG	1077-2618	IEEE Industry Applications Magazine	IEEE	
IIMMF9	1094-6969	IEEE Instrumentation & Measurement Magazine	IEEE	
002435		"IEEE Intelligent Network Workshop, Proceedings"	IEEE	
IISYF7	0885-9000	IEEE Intelligent Systems & Their Applications	IEEE	
001680		"IEEE Intelligent Vehicles Symposium, Proceedings"	IEEE	
002129		IEEE International Conference on Algorithms and Architectures for Parallel   Processing	IEEE	
002115		IEEE International Conference on Communications	IEEE	
002496		"IEEE International Conference on Conduction & Breakdown in Dielectric   Liquids, ICDL"	IEEE	
PICBF3		IEEE International Conference on Conduction & Breakdown in Solid Dielectrics	IEEE	
PIFSFZ		IEEE International Conference on Fuzzy Systems	IEEE	
85QTAW		IEEE International Conference on Image Processing	IEEE	
002771		"IEEE International Conference on Intelligent Engineering Systems,   Proceedings, INES"	IEEE	
85RBAH		IEEE International Conference on Intelligent Robots and Systems	IEEE	
PIMTE4		IEEE International Conference on Microelectronic Test Structures	IEEE	
85QUAZ		IEEE International Conference on Multi-Media Engineering Education -   Proceedings	IEEE	
85PRAL		IEEE International Conference on Multisensor Fusion and Integration for   Intelligent Systems	IEEE	
ICNNF9		IEEE International Conference on Neural Networks - Conference Proceedings	IEEE	
85QVA4		IEEE International Conference on Personal Wireless Communications	IEEE	
85PSAO	0730-9244	IEEE International Conference on Plasma Science	IEEE	
002676		"IEEE International Conference on Semiconductor Electronics, Proceedings, ICSE"	IEEE	
002640		"IEEE International Electric Machines and Drives Conference Record, IEMDC"	IEEE	
IEMCFJ		IEEE International Engineering Management Conference	IEEE	
002497		IEEE International Joint Symposia on Intelligence and Systems	IEEE	
002588		"IEEE International Performance, Computing & Communications Conference,   Proceedings"	IEEE	
IPPRFK		IEEE International Professional Communication Conference	IEEE	
IISPED	1078-621X	IEEE International SOI Conference	IEEE	
002135		IEEE International Symposium on Applications of Ferroelectrics	IEEE	
003119		"IEEE International Symposium on Compound Semiconductors, Proceedings"	IEEE	
IISPDC	0190-1494	IEEE International Symposium on Electromagnetic Compatibility	IEEE	
85OPAA		IEEE International Symposium on Electronics & the Environment	IEEE	
